subject_id,n_sessions,sessions
sub-NDARINV00CY2MDM,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV00HEV6HB,3,ses-2YearFollowUpYArm1;ses-4YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV00LJVZK2,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV00R4TXET,1,ses-baselineYear1Arm1
sub-NDARINV00UMK5VC,1,ses-baselineYear1Arm1
sub-NDARINV010ZM3H9,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV01NAYMZH,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV01Z8HAPV,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV021403LF,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV022ZVCT8,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV028WCTG6,1,ses-baselineYear1Arm1
sub-NDARINV02EBX0JJ,2,ses-4YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV02RCED7D,1,ses-baselineYear1Arm1
sub-NDARINV030X9ZNH,1,ses-2YearFollowUpYArm1
sub-NDARINV03CV8RDT,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV03KMHMJJ,1,ses-2YearFollowUpYArm1
sub-NDARINV040B4TRC,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV04CLBZAD,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV04EUBGTM,3,ses-2YearFollowUpYArm1;ses-4YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV04JY6730,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV04P0G6LK,1,ses-baselineYear1Arm1
sub-NDARINV04R9REGF,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV04TRXUGL,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV059VLAHF,1,ses-2YearFollowUpYArm1
sub-NDARINV05CA3VX5,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV05WK8AN7,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV05X0LM1N,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV06A9DLE9,1,ses-baselineYear1Arm1
sub-NDARINV06DP74KL,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV06U4DYFY,1,ses-baselineYear1Arm1
sub-NDARINV06WHVUPX,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV07HGA3B7,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV07XXFHDK,2,ses-4YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV086114AT,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV086U18RD,1,ses-2YearFollowUpYArm1
sub-NDARINV0889M0JE,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV08AT7TLH,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV08GBDG8X,1,ses-baselineYear1Arm1
sub-NDARINV08J0E48V,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV08K0R9C4,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV08R2PTT1,3,ses-2YearFollowUpYArm1;ses-4YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV08UNGWZK,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV08WDFUCE,1,ses-2YearFollowUpYArm1
sub-NDARINV08YFFYY2,1,ses-baselineYear1Arm1
sub-NDARINV094UXV0J,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV095EVLDD,1,ses-2YearFollowUpYArm1
sub-NDARINV09AEBLZH,1,ses-baselineYear1Arm1
sub-NDARINV09N9CRAL,1,ses-2YearFollowUpYArm1
sub-NDARINV0A4ZDYNL,3,ses-2YearFollowUpYArm1;ses-4YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV0AEBMADL,2,ses-2YearFollowUpYArm1;ses-4YearFollowUpYArm1
sub-NDARINV0APJMRD1,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV0AYJMFMW,1,ses-baselineYear1Arm1
sub-NDARINV0B3PHZ2W,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV0BEPJHU1,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV0C471G23,3,ses-2YearFollowUpYArm1;ses-4YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV0C7TZ6YW,1,ses-2YearFollowUpYArm1
sub-NDARINV0CBPKF6W,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV0CCEN5K2,1,ses-baselineYear1Arm1
sub-NDARINV0CCMBWPE,1,ses-baselineYear1Arm1
sub-NDARINV0CCVJ39W,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV0CF1U8X8,3,ses-2YearFollowUpYArm1;ses-4YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV0CP9XGTP,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV0CZBUV4C,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV0DBRJXKG,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV0DC9BJZK,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV0DG8XR2P,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV0DJJP33V,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV0DKWEM1A,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV0DMRP60R,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV0DUXE0ZA,1,ses-baselineYear1Arm1
sub-NDARINV0DWBRWHT,1,ses-baselineYear1Arm1
sub-NDARINV0E9UFT0K,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV0EVRF8BN,1,ses-baselineYear1Arm1
sub-NDARINV0FM9MUTU,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV0FUC15ZB,3,ses-2YearFollowUpYArm1;ses-4YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV0FV544H9,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV0FZ26GB1,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV0G42TBW1,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV0G9MD8JA,1,ses-baselineYear1Arm1
sub-NDARINV0GPKYMDC,1,ses-2YearFollowUpYArm1
